Batter,Runs,Balls,Fours,Sixes,StrikeRate
A Balbirnie,245,236,18.0,11.0,103.8135593220339
A Bohara,0,2,0.0,0.0,0.0
A Busing-Volschenk,20,22,1.0,1.0,90.9090909090909
A Dutt,47,38,4.0,2.0,123.6842105263158
A Johnson,89,75,12.0,4.0,118.66666666666667
A Nao,8,13,0.0,0.0,61.53846153846154
A Nehra,0,6,0.0,0.0,0.0
A Nortje,8,10,1.0,0.0,80.0
A Sharafu,109,103,10.0,3.0,105.8252427184466
A Sharma,95,82,9.0,4.0,115.85365853658537
A Vala,107,104,11.0,4.0,102.88461538461539
A Zampa,6,10,0.0,0.0,60.0
AB de Villiers,175,116,16.0,7.0,150.86206896551724
AC Agar,29,29,0.0,3.0,100.0
AC Evans,0,2,0.0,0.0,0.0
AD Hales,425,294,47.0,17.0,144.5578231292517
AD Mathews,255,212,11.0,13.0,120.28301886792453
AD Poynter,95,70,8.0,5.0,135.71428571428572
AD Russell,191,130,18.0,12.0,146.92307692307693
ADS Fletcher,95,78,6.0,6.0,121.7948717948718
AF Milne,2,2,0.0,0.0,100.0
AG Cremer,0,6,0.0,0.0,0.0
AGS Gous,238,176,22.0,12.0,135.22727272727272
AJ Finch,458,402,40.0,20.0,113.93034825870647
AJ Hosein,52,61,3.0,1.0,85.24590163934427
AJ Mosca,94,57,5.0,9.0,164.91228070175438
AK Markram,642,473,63.0,23.0,135.7293868921776
AK Sah,38,41,5.0,1.0,92.6829268292683
AM Guruge,2,2,0.0,0.0,100.0
AM Phangiso,4,5,0.0,0.0,80.0
AM Rahane,94,96,6.0,1.0,97.91666666666667
AR Cusack,0,1,0.0,0.0,0.0
AR McBrine,11,5,2.0,0.0,220.0
AR Odedara,1,3,0.0,0.0,33.333333333333336
AR Patel,105,88,6.0,6.0,119.31818181818181
AR Ramjani,13,22,2.0,0.0,59.09090909090909
AS Joseph,17,14,1.0,1.0,121.42857142857143
AT Nidamanuru,0,2,0.0,0.0,0.0
AU Rashid,9,10,0.0,0.0,90.0
AV Lalcheta,7,8,1.0,0.0,87.5
Aamir Kaleem,61,49,7.0,2.0,124.48979591836735
Aarif Sheikh,39,41,3.0,1.0,95.1219512195122
Aaron Jones,173,134,9.0,14.0,129.1044776119403
Aasif Sheikh,134,141,14.0,3.0,95.0354609929078
Aayan Afzal Khan,24,29,1.0,0.0,82.75862068965517
Abbas Afridi,17,21,1.0,1.0,80.95238095238095
Abdur Razzak,0,1,0.0,0.0,0.0
Abhishek Sharma,141,99,16.0,8.0,142.42424242424244
Abrar Ahmed,0,1,0.0,0.0,0.0
Adnan Ilyas,17,21,2.0,0.0,80.95238095238095
Afif Hossain,149,133,13.0,3.0,112.03007518796993
Agha Salman,60,47,8.0,2.0,127.65957446808511
Ahmed Raza,0,4,0.0,0.0,0.0
Ahmed Shehzad,246,197,27.0,5.0,124.8730964467005
Ahsan Malik,1,3,0.0,0.0,33.333333333333336
Aizaz Khan,7,7,1.0,0.0,100.0
Al-Amin Hossain,1,7,0.0,0.0,14.285714285714286
Ali Hasan,0,8,0.0,0.0,0.0
Ali Khan,14,9,1.0,1.0,155.55555555555554
Amir Ali,36,22,6.0,1.0,163.63636363636363
Amjad Ali,26,30,5.0,0.0,86.66666666666667
Amjad Javed,29,33,3.0,0.0,87.87878787878788
Anamul Haque,140,123,18.0,5.0,113.82113821138212
Anshuman Rath,21,23,0.0,0.0,91.30434782608695
Aqib Ilyas,142,126,14.0,6.0,112.6984126984127
Arafat Sunny,8,4,0.0,1.0,200.0
Arshdeep Singh,19,26,2.0,0.0,73.07692307692308
Aryan Lakra,1,3,0.0,0.0,33.333333333333336
Asif Ali,34,20,1.0,3.0,170.0
Ayan Khan,102,114,6.0,3.0,89.47368421052632
Azam Khan,0,1,0.0,0.0,0.0
B Bhandari,1,7,0.0,0.0,14.285714285714286
B Evans,73,53,2.0,7.0,137.73584905660377
B Kumar,9,11,0.0,0.0,81.81818181818181
B Masaba,4,26,0.0,0.0,15.384615384615385
B Muzarabani,2,17,0.0,0.0,11.764705882352942
B Shikongo,0,5,0.0,0.0,0.0
B White,7,24,0.0,0.0,29.166666666666668
BA King,250,214,34.0,5.0,116.82242990654206
BA Stokes,157,131,11.0,4.0,119.8473282442748
BAD Manenti,138,78,11.0,8.0,176.92307692307693
BB McCullum,85,61,5.0,5.0,139.34426229508196
BD Glover,0,3,0.0,0.0,0.0
BE Hendricks,3,4,0.0,0.0,75.0
BF Calitz,6,8,0.0,0.0,75.0
BFW de Leede,278,284,22.0,7.0,97.88732394366197
BJ Bennett,292,226,32.0,7.0,129.20353982300884
BJ Currie,4,9,0.0,0.0,44.44444444444444
BJ Dwarshuis,6,7,0.0,0.0,85.71428571428571
BJ Haddin,29,25,2.0,1.0,116.0
BJ Hodge,50,47,2.0,1.0,106.38297872340425
BJ McCarthy,42,53,1.0,2.0,79.24528301886792
BJ McMullen,220,140,15.0,14.0,157.14285714285714
BKG Mendis,470,376,43.0,10.0,125.0
BM Scholtz,12,15,1.0,0.0,80.0
BN Cooper,78,86,8.0,1.0,90.69767441860465
BRM Taylor,154,124,13.0,4.0,124.19354838709677
BTJ Wheal,5,8,0.0,0.0,62.5
Babar Azam,589,546,52.0,9.0,107.87545787545787
Babar Hayat,36,40,5.0,0.0,90.0
Basil Hameed,31,24,3.0,2.0,129.16666666666666
Bilal Khan,4,7,0.0,0.0,57.142857142857146
C Bosch,7,10,1.0,0.0,70.0
C Campher,213,170,21.0,3.0,125.29411764705883
C Connolly,14,12,0.0,1.0,116.66666666666667
C Green,24,20,1.0,2.0,120.0
C Karunaratne,51,60,4.0,0.0,85.0
C Kyewuta,2,12,0.0,0.0,16.666666666666668
C Madande,26,21,3.0,0.0,123.80952380952381
C Munro,125,115,12.0,4.0,108.69565217391305
CA Soper,42,50,2.0,2.0,84.0
CA Young,2,7,0.0,0.0,28.571428571428573
CAK Rajitha,8,26,0.0,0.0,30.76923076923077
CBRLS Kumara,5,8,1.0,0.0,62.5
CD Wallace,4,13,0.0,0.0,30.76923076923077
CE McConchie,45,37,5.0,2.0,121.62162162162163
CG Williams,118,141,9.0,4.0,83.68794326241135
CH Gayle,301,258,22.0,20.0,116.66666666666667
CH Morris,16,17,2.0,0.0,94.11764705882354
CJ Anderson,179,184,11.0,5.0,97.28260869565217
CJ Jordan,57,62,4.0,1.0,91.93548387096774
CJA Amini,73,86,6.0,1.0,84.88372093023256
CJPF Kalugamage,5,11,0.0,0.0,45.45454545454545
CK Kapugedera,40,50,3.0,1.0,80.0
CL White,18,18,2.0,0.0,100.0
CN Ackermann,297,272,21.0,9.0,109.19117647058823
CN Greaves,117,129,8.0,2.0,90.69767441860465
CP Rizwan,45,34,3.0,1.0,132.35294117647058
CR Brathwaite,44,21,1.0,5.0,209.52380952380952
CR Ervine,112,130,13.0,0.0,86.15384615384616
CR Woakes,12,6,1.0,1.0,200.0
CS MacLeod,91,116,6.0,0.0,78.44827586206897
CV Varun,1,5,0.0,0.0,20.0
Chirag Suri,26,42,4.0,0.0,61.904761904761905
D Brevis,184,130,11.0,13.0,141.53846153846155
D Heyliger,28,25,1.0,2.0,112.0
D Madushanka,0,2,0.0,0.0,0.0
D Myers,45,45,4.0,2.0,100.0
D Parashar,5,7,0.0,0.0,71.42857142857143
D Pretorius,1,3,0.0,0.0,33.333333333333336
D Ramdin,23,39,1.0,0.0,58.97435897435897
D Ravu,6,9,1.0,0.0,66.66666666666667
D Wiese,359,265,20.0,19.0,135.47169811320754
D la Cock,9,11,1.0,0.0,81.81818181818181
DA Miller,558,461,35.0,26.0,121.0412147505423
DA Warner,612,457,64.0,24.0,133.9168490153173
DE Bollinger,1,1,0.0,0.0,100.0
DE Budge,0,2,0.0,0.0,0.0
DJ Bravo,164,133,11.0,9.0,123.30827067669173
DJ Hooda,0,3,0.0,0.0,0.0
DJ Malan,154,145,14.0,2.0,106.20689655172414
DJ Mitchell,386,303,23.0,14.0,127.39273927392739
DJ Willey,21,14,1.0,2.0,150.0
DJG Sammy,103,51,12.0,5.0,201.9607843137255
DM Nakrani,4,20,0.0,0.0,20.0
DM de Silva,166,150,13.0,3.0,110.66666666666667
DN Wellalage,72,64,8.0,1.0,112.5
DO Leicher,6,6,0.0,0.0,100.0
DP Conway,300,278,27.0,6.0,107.9136690647482
DPMD Jayawardene,158,128,20.0,3.0,123.4375
DR Smith,125,122,19.0,4.0,102.45901639344262
DS Airee,201,167,15.0,8.0,120.35928143712574
DS Bajwa,65,68,8.0,1.0,95.58823529411765
DW Steyn,6,7,1.0,0.0,85.71428571428571
E Chigumbura,95,54,7.0,6.0,175.92592592592592
E Lewis,147,136,13.0,8.0,108.08823529411765
EC Joyce,93,92,5.0,2.0,101.08695652173913
EHSN Silva,16,23,1.0,0.0,69.56521739130434
EJG Morgan,223,198,18.0,8.0,112.62626262626263
Ehsan Adil,1,2,0.0,0.0,50.0
F Achelam,9,14,1.0,0.0,64.28571428571429
F Behardien,5,4,0.0,0.0,125.0
F Hand,12,11,2.0,0.0,109.0909090909091
F Nsubuga,0,3,0.0,0.0,0.0
F du Plessis,152,129,14.0,4.0,117.82945736434108
FH Allen,427,246,40.0,26.0,173.5772357723577
FJ Klaassen,14,25,0.0,0.0,56.0
Faheem Ashraf,40,28,3.0,3.0,142.85714285714286
Faizan Asif,18,24,1.0,1.0,75.0
Fakhar Zaman,241,175,18.0,13.0,137.71428571428572
Farhad Reza,0,4,0.0,0.0,0.0
Fayyaz Butt,9,16,1.0,0.0,56.25
G Malla,61,49,6.0,1.0,124.48979591836735
G Motie,4,9,1.0,0.0,44.44444444444444
G Stewart,59,37,2.0,6.0,159.45945945945945
GB Hogg,3,3,0.0,0.0,100.0
