MatchID,Date,Team1,Team2,Winner,Venue,City,TossWinner,TossDecision,PlayerOfMatch
1273712,2021-10-17,Papua New Guinea,Oman,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,Zeeshan Maqsood
1273713,2021-10-17,Scotland,Bangladesh,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bangladesh,field,CN Greaves
1273714,2021-10-18,Netherlands,Ireland,Ireland,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Netherlands,bat,C Campher
1273715,2021-10-18,Namibia,Sri Lanka,Sri Lanka,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Sri Lanka,field,M Theekshana
1273716,2021-10-19,Scotland,Papua New Guinea,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Scotland,bat,RD Berrington
1273717,2021-10-19,Bangladesh,Oman,Bangladesh,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bangladesh,bat,Shakib Al Hasan
1273718,2021-10-20,Netherlands,Namibia,Namibia,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Namibia,field,D Wiese
1273719,2021-10-20,Sri Lanka,Ireland,Sri Lanka,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Ireland,field,PWH de Silva
1273720,2021-10-21,Bangladesh,Papua New Guinea,Bangladesh,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bangladesh,bat,Shakib Al Hasan
1273721,2021-10-21,Oman,Scotland,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,bat,JH Davey
1273722,2021-10-22,Ireland,Namibia,Namibia,Sharjah Cricket Stadium,Sharjah,Ireland,bat,D Wiese
1273723,2021-10-22,Netherlands,Sri Lanka,Sri Lanka,Sharjah Cricket Stadium,Sharjah,Sri Lanka,field,CBRLS Kumara
1273724,2021-10-23,South Africa,Australia,Australia,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Australia,field,JR Hazlewood
1273725,2021-10-23,West Indies,England,England,Dubai International Cricket Stadium,Dubai,England,field,MM Ali
1273726,2021-10-24,Bangladesh,Sri Lanka,Sri Lanka,Sharjah Cricket Stadium,Sharjah,Sri Lanka,field,KIC Asalanka
1273727,2021-10-24,India,Pakistan,Pakistan,Dubai International Cricket Stadium,Dubai,Pakistan,field,Shaheen Shah Afridi
1273729,2021-10-26,West Indies,South Africa,South Africa,Dubai International Cricket Stadium,Dubai,South Africa,field,A Nortje
1273730,2021-10-26,New Zealand,Pakistan,Pakistan,Sharjah Cricket Stadium,Sharjah,Pakistan,field,Haris Rauf
1273731,2021-10-27,Bangladesh,England,England,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Bangladesh,bat,JJ Roy
1273732,2021-10-27,Scotland,Namibia,Namibia,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Namibia,field,R Trumpelmann
1273733,2021-10-28,Sri Lanka,Australia,Australia,Dubai International Cricket Stadium,Dubai,Australia,field,A Zampa
1273734,2021-10-29,West Indies,Bangladesh,West Indies,Sharjah Cricket Stadium,Sharjah,Bangladesh,field,N Pooran
1273736,2021-10-30,Sri Lanka,South Africa,South Africa,Sharjah Cricket Stadium,Sharjah,South Africa,field,T Shamsi
1273737,2021-10-30,Australia,England,England,Dubai International Cricket Stadium,Dubai,England,field,CJ Jordan
1273739,2021-10-31,India,New Zealand,New Zealand,Dubai International Cricket Stadium,Dubai,New Zealand,field,IS Sodhi
1273740,2021-11-01,England,Sri Lanka,England,Sharjah Cricket Stadium,Sharjah,Sri Lanka,field,JC Buttler
1273741,2021-11-02,Bangladesh,South Africa,South Africa,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,South Africa,field,K Rabada
1273742,2021-11-02,Pakistan,Namibia,Pakistan,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Pakistan,bat,Mohammad Rizwan
1273743,2021-11-03,New Zealand,Scotland,New Zealand,Dubai International Cricket Stadium,Dubai,Scotland,field,MJ Guptill
1273745,2021-11-04,Bangladesh,Australia,Australia,Dubai International Cricket Stadium,Dubai,Australia,field,A Zampa
1273746,2021-11-04,Sri Lanka,West Indies,Sri Lanka,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,West Indies,field,KIC Asalanka
1273747,2021-11-05,New Zealand,Namibia,New Zealand,Sharjah Cricket Stadium,Sharjah,Namibia,field,JDS Neesham
1273748,2021-11-05,Scotland,India,India,Dubai International Cricket Stadium,Dubai,India,field,RA Jadeja
1273749,2021-11-06,West Indies,Australia,Australia,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Australia,field,DA Warner
1273750,2021-11-06,South Africa,England,South Africa,Sharjah Cricket Stadium,Sharjah,England,field,HE van der Dussen
1273752,2021-11-07,Pakistan,Scotland,Pakistan,Sharjah Cricket Stadium,Sharjah,Pakistan,bat,Shoaib Malik
1273753,2021-11-08,Namibia,India,India,Dubai International Cricket Stadium,Dubai,India,field,RA Jadeja
