Bowler,Balls,RunsConceded,Bowled,Caught,LBW,Stumped,HitWicket,CaughtAndBowled,RunOut,TotalWickets,Overs,Economy
A Bohara,48,61,1,0,0,0,0,0,0,1,8.0,7.62
A Dutt,122,130,2,5,0,1,0,0,0,8,20.33,6.39
A Mishra,135,153,1,5,1,3,0,0,1,10,22.5,6.8
A Nao,57,47,0,0,3,0,0,0,1,3,9.5,4.95
A Nehra,114,117,0,5,0,0,0,0,1,5,19.0,6.16
A Nortje,480,481,8,24,2,0,1,1,5,36,80.0,6.01
A Vala,66,81,0,4,0,0,0,1,0,5,11.0,7.36
A Zampa,516,575,8,21,8,3,0,0,0,40,86.0,6.69
AC Agar,73,103,1,2,0,0,0,0,1,3,12.17,8.47
AC Evans,79,121,1,2,0,0,0,0,0,3,13.17,9.19
AD Mathews,174,199,1,3,1,0,0,0,0,5,29.0,6.86
AD Russell,391,508,8,17,0,0,0,1,1,26,65.17,7.8
AF Milne,193,242,2,3,0,0,0,0,0,5,32.17,7.52
AG Cremer,85,125,0,2,0,0,0,1,0,3,14.17,8.82
AJ Finch,6,18,0,0,0,0,0,0,0,0,1.0,18.0
AJ Hosein,424,505,6,10,3,0,0,2,1,21,70.67,7.15
AK Markram,144,169,0,4,0,0,0,0,0,4,24.0,7.04
AM Guruge,48,58,1,0,0,0,0,1,0,2,8.0,7.25
AM Phangiso,49,45,2,1,0,0,0,0,1,3,8.17,5.51
AR Cusack,55,106,0,1,0,0,0,0,0,1,9.17,11.56
AR McBrine,67,111,0,2,1,2,0,0,0,5,11.17,9.94
AR Patel,350,483,7,10,1,2,0,2,1,22,58.33,8.28
AR Ramjani,42,37,1,0,2,0,0,0,0,3,7.0,5.29
AS Joseph,210,234,7,10,0,0,0,1,1,18,35.0,6.69
AU Rashid,718,842,10,21,3,4,0,1,1,39,119.67,7.04
AV Lalcheta,42,59,1,0,0,0,0,0,0,1,7.0,8.43
Aamir Kaleem,55,71,0,1,1,0,0,0,0,2,9.17,7.75
Aayan Afzal Khan,48,38,0,2,0,0,0,0,1,2,8.0,4.75
Abbas Afridi,20,32,0,0,0,0,0,0,0,0,3.33,9.6
Abdur Razzak,73,82,0,1,1,1,0,0,0,3,12.17,6.74
Abhishek Sharma,12,15,0,1,0,0,0,0,0,1,2.0,7.5
Abrar Ahmed,91,118,5,1,0,0,0,0,0,6,15.17,7.78
Abu Hider,13,15,0,0,0,0,0,0,0,0,2.17,6.92
Afif Hossain,18,36,0,1,0,0,0,0,0,1,3.0,12.0
Agha Salman,12,10,0,1,0,0,0,0,0,1,2.0,5.0
