Venue,City
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi
Sharjah Cricket Stadium,Sharjah
Dubai International Cricket Stadium,Dubai
"GMHBA Stadium, South Geelong, Victoria",Geelong
"Bellerive Oval, Hobart",Hobart
Sydney Cricket Ground,Sydney
Melbourne Cricket Ground,Melbourne
Perth Stadium,Perth
"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
Adelaide Oval,Adelaide
"Grand Prairie Stadium, Dallas",Dallas
"Providence Stadium, Guyana",Providence
"Kensington Oval, Bridgetown, Barbados",Bridgetown
"Nassau County International Cricket Stadium, New York",New York
"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound
"Brian Lara Stadium, Tarouba, Trinidad",Tarouba
"Arnos Vale Ground, Kingstown, St Vincent",Kingstown
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill
"Sinhalese Sports Club Ground, Colombo",Colombo
"Eden Gardens, Kolkata",Kolkata
"Wankhede Stadium, Mumbai",Mumbai
"R Premadasa Stadium, Colombo",Colombo
"Narendra Modi Stadium, Ahmedabad",Ahmedabad
"Arun Jaitley Stadium, Delhi",Delhi
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
Pallekele International Cricket Stadium,Kandy
Zahur Ahmed Chowdhury Stadium,Chittagong
Sylhet Stadium,
Shere Bangla National Stadium,Mirpur
Zahur Ahmed Chowdhury Stadium,Chattogram
Himachal Pradesh Cricket Association Stadium,Dharamsala
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur
Wankhede Stadium,Mumbai
Eden Gardens,Kolkata
M Chinnaswamy Stadium,Bangalore
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh
Feroz Shah Kotla,Delhi
